Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
OfficineMultiplo,officinemultiplo.com,Accessible Architecture and Design,"Turin, Italy",1-10,https://www.linkedin.com/company/officinemultiplo,"OfficineMultiplo is an architecture, design, and communication firm that applies a multidisciplinary and holistic approach to solving design problems.",privately held,""
Goldmannart,goldmannart.de,Accessible Architecture and Design,"Ferrara, Italy",1-10,https://www.linkedin.com/company/goldmannart,Goldmannart GbR is an Exhibition and Sound Design company that creates captivating and masterfully staged experiences for exhibitions.,partnership,""
Studio Meanwhile,studiomeanwhile.com,Accessible Architecture and Design,"V6H1A6, British Columbia, Canada",1-10,https://www.linkedin.com/company/studio-meanwhile,,privately held,""
Munkhaven Cottage Gardens,munkhavencottage.com,Accessible Architecture and Design,"Verrebroek, Belgium",1-10,https://www.linkedin.com/company/munkhaven-cottage-gardens,"Munkhaven Cottage is a garden design company that offers exclusive garden designs for rural gardens, gardening coaching for various garden tasks, and the opportunity to visit demonstration gardens by appointment.",self owned,""
ArchiRace Studio,archirace.com,Accessible Architecture and Design,"New Delhi, India",11-50,https://www.linkedin.com/company/archirace-studio,,self owned,""
Diiform Design Studio,diiform.com,Accessible Architecture and Design,"Budapest, Hungary",1-10,https://www.linkedin.com/company/diiform-design-studio,,public company,""
MO Innovation,moinnovation.net,Accessible Architecture and Design,"Cairo, Egypt",11-50,https://www.linkedin.com/company/mo-,"MO Innovation company may have in a convenient from a clear idea of what the office can do, how it is organized and who runs it. We hope that readers will find it interesting and that it will provide a factual and pictorial background to persons, discussions.",public company,""
Atelier Meadow,ateliermeadow.com,Accessible Architecture and Design,"Shanghai, China",1-10,https://www.linkedin.com/company/atelier-meadow,"Atelier Meadow is an architecture and interior design studio that specializes in innovative and award-winning design solutions for various sectors, including food and leisure.",self owned,""
6040 Terraza Jardin,6040terrazajardin.com.ar,Accessible Architecture and Design,"Buenos Aires, Argentina",11-50,https://www.linkedin.com/company/60-40-terraza-jardin,,self owned,""
Vizzarte,vizzarte.com.br,Accessible Architecture and Design,"Joinville, Brazil",11-50,https://www.linkedin.com/company/vizzarterevestimentos,"Vizzarte Revestimentos is a company specializing in high-end architectural concrete floors and finishes, offering a variety of shapes and colors to provide solutions for all environments and styles.",partnership,""
DADO diseñoparatodos,dado.com.co,Accessible Architecture and Design,"Bogotá, Colombia",11-50,https://www.linkedin.com/company/dado-dise%c3%b1o-para-todos,"DADO diseñoparatodos is a company that offers a wide range of high-quality signage, educational, advertising, publishing, and entertainment products for individuals with sensory disabilities, along with consulting and training services.",privately held,""
InnovaRetail Studio,innovaretail.es,Accessible Architecture and Design,"Terrassa, Spain",11-50,https://www.linkedin.com/company/innovaretail-solutions,Innovaretail Solutions is an architecture and commercial interior design company that focuses on strategic design to enhance business success.,privately held,""
Safe City,safecitying.com,Accessible Architecture and Design,"Madrid, Spain",1-10,https://www.linkedin.com/company/safe-city-ingenieria-sac,"SafeCity is a company in the accessibility industry specializing in international accessibility solutions, helping businesses comply with accessibility regulations and create excellently designed spaces promoting inclusion and diversity.",privately held,""
Divan Design Studio,divandesignstudio.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/divandesignstudio,,self employed,""
Izabela Dinelli Arquitetura,izabeladinelliarquitetura.com.br,Accessible Architecture and Design,"Nova Lima, Brazil",1-10,https://www.linkedin.com/company/izabeladinelliarquitetura,Izabela Dinelli Arquitetura is an architecture firm that specializes in turning client dreams into reality through project development.,privately held,""
By Mariana Cabugueira Studios,marianacabugueirastudios.com,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/mariana-cabugueira-studios,by Mariana Cabugueira Studios is an Architecture and Digital Design Studio that specializes in the Hybrid practice of Physical Parametric Architecture and Digital Design of events on the Metaverse powered by AI.,public company,""
O'YENHRA',oyenhra.ca,Accessible Architecture and Design,"Montréal, Canada",1-10,https://www.linkedin.com/company/consultations-o-yenhra,,self owned,""
Larcom,larcom.com.ar,Accessible Architecture and Design,Australia,11-50,https://www.linkedin.com/company/larcomsla,Larcom is a commercial architecture company that specializes in turning business ideas into reality through technical design criteria and modern 3D visualization.,self owned,""
3vo,3vo.pt,Accessible Architecture and Design,"Coimbra, Portugal",1-10,https://www.linkedin.com/company/3voconsultoresarq,,partnership,""
The Hummingbird Mill (THM),designthm.com,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/the-hummingbird-mill-thm,,privately held,""
JK Associates,jkassoct.com,Accessible Architecture and Design,,51-200,https://www.linkedin.com/company/jkassociatess,,self owned,""
Rendermine,rendermine.com,Accessible Architecture and Design,"Sheffield, United Kingdom",1-10,https://www.linkedin.com/company/rendermine,"Rendermine is a 3D visualization studio that crafts immersive experiences through collaborative design, transforming client visions into striking visuals that make a lasting impact.",privately held,""
Ferracuti,ferracuti.pt,Accessible Architecture and Design,Portugal,1-10,https://www.linkedin.com/company/ferracuti-arquitetura-e-interiores,,self employed,""
Fato Estúdio,fatoestudio.com.br,Accessible Architecture and Design,"Rio de Janeiro, Brazil",1-10,https://www.linkedin.com/company/fato-est%c3%badio-objetos,"Fato Estúdio is a company in the architecture industry that focuses on residential and commercial architectural projects, as well as designing objects created by architects.",privately held,""
Already AB,already.se,Accessible Architecture and Design,"Stockholm, Sweden",1-10,https://www.linkedin.com/company/already,"Already is a digital consulting agency that specializes in creating impactful, ethical, and user-centered digital experiences through comprehensive UX and product design services.",public company,""
Walldek,walldek.cl,Accessible Architecture and Design,"Santiago, Chile",11-50,https://www.linkedin.com/company/walldek,Walldek is a construction company that offers fast and economical alternative panels for building or renovating a house without compromising on quality or aesthetics.,privately held,""
Ipê-amarelo Arquitetura,ipe-amarelo.com,Accessible Architecture and Design,"São Carlos, Brazil",1-10,https://www.linkedin.com/company/ip%c3%aa-amarelo-arquitetura,Ipê-Amarelo Arquitetura Ltda is an architecture firm that connects spaces and people to experience stories with loved ones.,privately held,""
Interni,internidesign.it,Accessible Architecture and Design,"Padova, Italy",11-50,https://www.linkedin.com/company/interni-architettura-design,,privately held,""
AM Interieurs,am-interieurs.fr,Accessible Architecture and Design,"Suresnes, France",1-10,https://www.linkedin.com/company/am-interieurs,,self employed,""
Sunoom Collection,sunoomcollection.com,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/sunoom,"Discover Sunoom Collection: a blend of modern luxury and ancient wisdom, offering private resorts, hotels, and sanctuaries designed for wellness and sustainability.",self owned,""
New Ryse Sustainable Design,newryse.com,Accessible Architecture and Design,"United States, Oregon",1-10,https://www.linkedin.com/company/new-ryse-sustainable-design,Sustainable Design by New Ryse Sustainable Design is a custom home design company that focuses on creating environmentally friendly constructions.,self employed,""
Pivito Studio,pivitostudio.com,Accessible Architecture and Design,"Amsterdam, Netherlands",1-10,https://www.linkedin.com/company/pivito-studio,Pivito Studio is an interior design company that specializes in architectural research and customized luxury-furniture design.,self owned,""
Nex-Gen Engineering Studios,nex-genengineering.com,Accessible Architecture and Design,"Colombo, Sri Lanka",11-50,https://www.linkedin.com/company/nex-gen-engineering-studios,,privately held,""
Vision Sud Habitat,vision-sud-habitat.com,Accessible Architecture and Design,"Royan, France",1-10,https://www.linkedin.com/company/vision-sud-habitat,,self employed,""
Moon Business,moonon.uk,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/moon-business,,privately held,""
Géraldine Lang Interiors - Architecture et décoration d'intérieur,langinteriors.fr,Accessible Architecture and Design,"Maisons-Laffitte, France",1-10,https://www.linkedin.com/company/geraldinelanginteriors,"Géraldine Lang Interiors is an Interior Design firm specializing in elegant design concepts for residential and commercial spaces, offering custom renovations in the Île-de-France region.",privately held,""
G-tec Iluminación,g-tec.com.mx,Accessible Architecture and Design,"Miguel Hidalgo, Mexico",51-200,https://www.linkedin.com/company/g-tec-iluminaci%c3%b3n,G-tec Iluminación is a lighting design company that specializes in high-end lighting fixtures from leading international brands.,privately held,""
Studio Bourou,studiobourou.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/studio-bourou,,self owned,""
Hosanna,hosanna.be,Accessible Architecture and Design,"Borgerhout, Belgium",1-10,https://www.linkedin.com/company/hosannaglas,Hosanna is a glass art company that specializes in creating contemporary glass art pieces with unique designs executed by skilled craftsmen.,self owned,""
3Phase,3phase.com.br,Accessible Architecture and Design,"São Paulo, Brazil",11-50,https://www.linkedin.com/company/3phase-acting-project-design,,privately held,""
1+1 Arquitectos,ummaisum-arquitectos.com,Accessible Architecture and Design,"Espinho, Portugal",11-50,https://www.linkedin.com/company/1-1-arquitectos,,partnership,""
INDOMUS Viviendas Universales,indomus-vu.com,Accessible Architecture and Design,"Mislata, Spain",1-10,https://www.linkedin.com/company/indomus-viviendas-universales,,self employed,""
GIRIH+,girih.ps,Accessible Architecture and Design,Qatar,1-10,https://www.linkedin.com/company/girih,"",self owned,""
Cyberscanning,cyber-scanning.com,Accessible Architecture and Design,"Ghiroda, Romania",1-10,https://www.linkedin.com/company/cyberscanningro,Cyberscanning is a 3D scanning services provider that specializes in creating 3D virtual tours of buildings and museum pieces.,privately held,""
Studio Visio,s-visio.com,Accessible Architecture and Design,"Istanbul, Türkiye",1-10,https://www.linkedin.com/company/studio-visio,Studio Visio is an architecture and interior design firm that creates visionary designs using innovative and modern materials.,privately held,""
Building Design and Management,buildingdesign.management,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/building-design-and-management,,privately held,""
Jack Alexander Studio,jackalexanderstudio.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/jack-alexander-studio,Jack Alexander Studio is an architectural design practice that specializes in luxury lodge and private island design.,privately held,""
TOSCANA KITCHENS,toscana.ae,Accessible Architecture and Design,"Dubai, United Arab Emirates",1-10,https://www.linkedin.com/company/toscana-trading-llc,"TOSCANA KITCHENS is a company in the home improvement industry that specializes in supplying and installing kitchen cabinets, wardrobes, accessories, and built-in appliances.",privately held,""
Projekt 007,projekt007.pl,Accessible Architecture and Design,"Poznań, Poland",1-10,https://www.linkedin.com/company/projekt-007-sp-z-o-o,"Projekt 007 is a company that specializes in managing and creating historical, educational, artistic, and commercial exhibitions, from concept to implementation, collaborating with public institutions, private entities, and individual clients.",privately held,""
AED WORKS s.r.l.,aedworks.com,Accessible Architecture and Design,"Borgo Maggiore, San Marino",11-50,https://www.linkedin.com/company/aedworks,,privately held,""
Bricks & Tiles,bricksandtiles.pt,Accessible Architecture and Design,"Lisbon, Portugal",1-10,https://www.linkedin.com/company/bricksandtiles,,privately held,""
Estudio Lume,estudiolume.com,Accessible Architecture and Design,"Santander, Spain",1-10,https://www.linkedin.com/company/lume-estudio,,self owned,""
B-Hive Properties,b-hiveproperties.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/b-hive-properties,New housing for a company that fits the needs and has the right image. That is what B-Hive strives for. The different design phases are there to make the right decisions at the right time in the process.,privately held,""
AFK Patrimoine,afk-patrimoine.fr,Accessible Architecture and Design,"Metz, France",1-10,https://www.linkedin.com/company/afk-patrimoine,,self owned,""
Initio Arquitectura,initioarquitectura.com,Accessible Architecture and Design,"Cali, Colombia",1-10,https://www.linkedin.com/company/initio-arquitectura,,privately held,""
Al caliu. Arquitectura,alcaliuarquitectura.es,Accessible Architecture and Design,"Valencia, Spain",1-10,https://www.linkedin.com/company/al-caliu-arquitectura,"ARQUITECTURA is an architecture firm that specializes in renovation projects, rehabilitation, and new construction, as well as providing various certifications and reports related to building licenses and energy efficiency.",self employed,""
Patricia Mejia 3D,patriciamejia3d.es,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/patriciamejiaestudio3d,,self employed,""
Studio JAW,studiojaw.it,Accessible Architecture and Design,Belize,1-10,https://www.linkedin.com/company/studio-jaw,,self employed,""
Moretti Cocinas,moretticocinas.com,Accessible Architecture and Design,"Madrid, Spain",11-50,https://www.linkedin.com/company/moretti-cocinas,Moretti Cocinas is a kitchen design company that specializes in creating unique kitchen spaces with a focus on high quality and design.,self owned,""
Access Built,accessbuilt.com,Accessible Architecture and Design,"Miami, Florida, United States",1-10,https://www.linkedin.com/company/access-built,"Access Built is the #1 online adaptive design and build platform, leading the way in empowering seniors and people with disabilities to live independently. We offer personalized design services and connect property owners with vetted contractors to create a more inclusive world for everyone.",partnership,""
DesignCh2,designch2.com,Accessible Architecture and Design,"Villa Cortese, Italy",1-10,https://www.linkedin.com/company/designch2,"Design Ch2 is a design services company that specializes in transforming polystyrene, wood, and resins into unique masterpieces, offering interior design and innovative prototyping services in both 2D and 3D.",privately held,""
Erika Winters,erikawintersdesign.com,Accessible Architecture and Design,"Los Angeles, California, United States",1-10,https://www.linkedin.com/company/erika-winters-design,Erika Winters is a Interior Design company that specializes in Contemporary Classic Design and creating high-design environments and products.,self employed,""
Zay Studio,zay.studio,Accessible Architecture and Design,India,11-50,https://www.linkedin.com/company/zay-studio,,self owned,""
TERRAVERTA Habitats,terraverta.com,Accessible Architecture and Design,"Knysna, South Africa",1-10,https://www.linkedin.com/company/terravertahabitats,"Welcome to TerraVerta Habitats—pioneers in sustainable construction using mass timber technologies. Creating innovative, eco-friendly homes",privately held,""
Domartstudio,domartstudio.com,Accessible Architecture and Design,"Douala, Cameroon",11-50,https://www.linkedin.com/company/domart-studio,"DOM'ART STUDIO is an Architecture and Interior Design company that specializes in decorative art and offers renovation, architectural study, and space customization to enhance functionality, ventilation, luminosity, color, and ambience.",privately held,""
Arka Estudio,arkaestudioperu.com,Accessible Architecture and Design,"Lima, Peru",1-10,https://www.linkedin.com/company/arkaestudioperu,,self owned,""
Creative Home,creativehome.ae,Accessible Architecture and Design,"Dubai, United Arab Emirates",51-200,https://www.linkedin.com/company/creativehomedubai,Transform your space with the leading home renovation company in Dubai. Our expert team brings innovation and excellence to every project.,privately held,""
Polyakov Design & Creative,polyakov.bg,Accessible Architecture and Design,"Plovdiv, Bulgaria",1-10,https://www.linkedin.com/company/polyakov-design-creative,"Polyakov Design & Creative is a design studio that specializes in architecture, interior and graphic design, visualizations, planning, and concept design.",self employed,""
Revolution 3D studio,revolution3dstudio.com,Accessible Architecture and Design,"Kolhāpur, India",11-50,https://www.linkedin.com/company/revolution-3d-studio,,self owned,""
Benk Designs,benkdesigns.com,Accessible Architecture and Design,"Addis Ababa, Ethiopia",51-200,https://www.linkedin.com/company/benk-designs,,privately held,""
STUDIO PI,studiopi.eu,Accessible Architecture and Design,"Zagreb, Croatia",1-10,https://www.linkedin.com/company/studiopieu,,privately held,""
Archist Design Studio,archistdesigns.com,Accessible Architecture and Design,"Giza, Egypt",11-50,https://www.linkedin.com/company/architect-ibrahem-magdy,Archist Design Studio is an architecture and design studio that specializes in high-end design with a focus on inventive designs and cutting edge technology.,self owned,""
Threshold Graphics Inc (THDG.IN),thdg.in,Accessible Architecture and Design,India,1-10,https://www.linkedin.com/company/thdg-in,"Threshold Graphics Inc is a architectural visualization company that specializes in bringing design concepts to life in stunning digital imagery using artistic and technical proficiency, constantly exploring novel techniques.",partnership,""
DUNE - Design Universel,dunedesignuniversel.com,Accessible Architecture and Design,"Paris, France",1-10,https://www.linkedin.com/company/dunedesignuniversel,,self owned,""
Aditec Acabados,aditecacabados.com,Accessible Architecture and Design,"San José, Costa Rica",1-10,https://www.linkedin.com/company/aditec-acabados,,self owned,""
Le Coup de Crayon,lecoupdecrayon.com,Accessible Architecture and Design,"35200, RENNES, Ille-et-Vilaine, France",1-10,https://www.linkedin.com/company/le-coup-de-crayon,"Le Coup de Crayon is an interior design company that specializes in bespoke interior design, decoration, and custom furniture in Rennes.",self owned,""
A S Architect,asarchitect.co.in,Accessible Architecture and Design,India,1-10,https://www.linkedin.com/company/as-architect-studio,,self employed,""
Studio M,studiomonline.nl,Accessible Architecture and Design,"Maarn, Netherlands",1-10,https://www.linkedin.com/company/studiomonline,Studio M is a landscape design studio that specializes in designing outdoor spaces for gardens.,self employed,""
Folsted Erhvervsindretning,folsted.com,Accessible Architecture and Design,"Hjørring, Denmark",1-10,https://www.linkedin.com/company/folsted,,self employed,""
Domeva,domeva.fr,Accessible Architecture and Design,"Saint-Hilaire-de-Loulay, France",1-10,https://www.linkedin.com/company/domeva-montaigu,Domeva is a home adaptation company that specializes in providing support and equipment for individuals with disabilities.,self owned,""
RARA Designz,raradesignz.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/raradesignz,"Get affordable and high quality home remodel solutions for additions, basements, sunroom, kitchen, bath, decks and more. Serving DC, MD, VA. contact us now.",privately held,""
M-Dizayn Mobilya Çizim - Mimarlık - Bilgisayar Destekli Tasarım - Tanıtım - Reklam Ajansı,mdizayn.com.tr,Accessible Architecture and Design,"İzmir, Türkiye",11-50,https://www.linkedin.com/company/mdizayn-cizimcim,"M-Dizayn is a design and advertising agency that provides computer-aided design, promotional services, and communication solutions without outsourcing.",privately held,""
Sysmo,sysmo.ae,Accessible Architecture and Design,"Dubai, United Arab Emirates",11-50,https://www.linkedin.com/company/sysmo-technical-services-llc,"Sysmo Technical is installation and maintenance work provider company in Dubai. We are trained in cladding and facade works, MEP, facade , gypsum work etc.",privately held,""
Asas Al-Omran,asas-alomran.com,Accessible Architecture and Design,"Dubai, United Arab Emirates",11-50,https://www.linkedin.com/company/asas-al-omran,,partnership,""
Gram Design Studio,gramdesignstudio.com,Accessible Architecture and Design,"Milan, Italy",1-10,https://www.linkedin.com/company/gram-design-unit,,partnership,""
ATELIERJULIEN,atelierjulien.fr,Accessible Architecture and Design,"Mâcon, France",1-10,https://www.linkedin.com/company/atelierjulien,"Atelierjulien.fr is a design and architecture company that offers quality, imagination, and innovation for construction, expansion, interior renovation projects, especially catering to professionals in the hospitality sector in the Burgundy region.",self owned,""
LED,ledco.be,Accessible Architecture and Design,"Waasmunster, Belgium",1-10,https://www.linkedin.com/company/ledco-powerleds,"LED is a company that offers LED lighting solutions for design and housing projects, focusing on providing more light with less energy consumption and offering innovative products for lighting design.",self owned,""
SPACE LOGIC,spacelogic.ge,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/spacelogicngo,Space Logic is an interior design company that creates unique and personalized interiors tailored to individual personalities or brands.,self owned,""
Margutti Esquadrias,marguttiesquadrias.com.br,Accessible Architecture and Design,"Americana, Brazil",11-50,https://www.linkedin.com/company/marguttiesquadrias,,privately held,""
Optiline Intérieur,optiline-interieur.fr,Accessible Architecture and Design,"49125, Maine-et-Loire, France",1-10,https://www.linkedin.com/company/optiline-int%c3%a9rieur,,self owned,""
Tebis Architects 1,tebisarchitectes.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/tebis-architect-partners,,privately held,""
INFLUART DESIGN,influart.com,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/influart-design,"INFLUART DESIGN is an architecture firm that specializes in sustainable design, creating environmentally friendly, aesthetically captivating, and functionally efficient projects.",privately held,""
FinForm,finform.design,Accessible Architecture and Design,"Stavern, Norway",1-10,https://www.linkedin.com/company/finform,,public company,""
Fraai Verkoopstyling,fraaiverkoopstyling.nl,Accessible Architecture and Design,"Oss, Netherlands",1-10,https://www.linkedin.com/company/fraaiverkoopstylingeninterieuradvies,Fraai Verkoopstyling is a Real Estate company that specializes in property styling to help sell homes faster and better.,self employed,""
Sanmartin Guix Asociados,sanmartinguix.com,Accessible Architecture and Design,"Barcelona, Spain",1-10,https://www.linkedin.com/company/sanmartin-guix-asociados,,self owned,""
Design core consultants (p) ltd.,designcoreonline.com,Accessible Architecture and Design,"Jaipur, India",11-50,https://www.linkedin.com/company/design-core-consultants-p-ltd,,privately held,""
Vieira e Leite Arquitetura e Engenharia,vlarqeng.com.br,Accessible Architecture and Design,"Caruaru, Brazil",1-10,https://www.linkedin.com/company/vieira-e-leite-arquitetura-e-engenharia,Vieira e Leite Arquitetura e Engenharia is a company in the Architecture and Engineering industry that focuses on creating precise and passionate designs for comfortable and stylish environments.,partnership,""
Trust Lines,trust-lines.com,Accessible Architecture and Design,"Istanbul, Türkiye",11-50,https://www.linkedin.com/company/trust-lines,Trust Lines is an architecture firm that combines Eastern concepts with modern design to preserve beauty and nostalgia in their projects.,privately held,""
C Change Design,c-changedesign.com,Accessible Architecture and Design,"Portland, Oregon, United States",11-50,https://www.linkedin.com/company/c-change-design-company,C Change Design is an architectural firm that specializes in creating beautiful and client-centered architectural designs for residential projects.,privately held,""
Collective Design Agency,collectivedesignagency.com.au,Accessible Architecture and Design,"Maida Vale, Australia",1-10,https://www.linkedin.com/company/collective-design-agency,"Collective Design AGENCY is a building design agency that specializes in custom homes, commercial design, and medical facility designs, with a focus on creating accessible and LHA compliant designs for Perth families and businesses.",privately held,""
PNW Trailblazer LLC,trailblazer.studio,Accessible Architecture and Design,"Richland, Washington, United States",1-10,https://www.linkedin.com/company/pnw-trailblazer-llc,"One-stop shop offering cabinetry, flooring, tile, stone and hardware. From custom cabinetry to ready-to-assemble affordable cabinets, we ensure you get the best materials for any project. Book now!",privately held,""
STUDIO 5 DESIGN,studio5design.in,Accessible Architecture and Design,"Mumbai, India",11-50,https://www.linkedin.com/company/studio5-design,,partnership,""
SVM Associates,svmcadoutsource.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/svm-associates-india,"Our CAD-based design services offer custom 2D drafting and 3D modeling, precisely tailored to meet your project needs.",self owned,""
En Concreto Asesorias,enconcretoasesorias.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/en-concreto-asesorias,,partnership,""
Ophélie Prinet,ophelieprinet.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/oph%c3%a9lie-prinet-cr%c3%a9ation-d-int%c3%a9rieurs,,self owned,""
Openfactory,openfactorysrl.it,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/openfactory-srl,,privately held,""
Popline Design,popline-design.ch,Accessible Architecture and Design,"Nyon, Switzerland",1-10,https://www.linkedin.com/company/popline-design,,self employed,""
Mermez Lab,mermezlab.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/mermezlab,,self owned,""
Moore 3D,studiomoore3d.com,Accessible Architecture and Design,"Assis, Brazil",1-10,https://www.linkedin.com/company/studio-moore-3d,"Years of experience in the high-end furniture sector, developing projects for the most demanding customers, bringing together the most modern and technological features in the furniture market, bringing a unique DNA to each executed project.<br><br>With the course of architecture, I was able to reinforce the concepts and skills of living in the area. I became a 3D artist combining my passion for Archviz and furniture design.<br><br>The opportunity to transform dreams and ideas through Virtual Reality, Animations and Render, made me love this profession even more and I want to continue transforming stories that are still on your mind.",privately held,""
Antipode,antipode-issoire.fr,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/antipode-issoire,,self employed,""
Elástica Studio,elastica.studio,Accessible Architecture and Design,"San Salvador, El Salvador",11-50,https://www.linkedin.com/company/el%c3%a1stica-studio,,self owned,""
Punto de Inicio,puntodeinicio.net,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/punto-de-inicio-inversiones-sac,,privately held,""
Draft Note Design,draftnotedesign.com,Accessible Architecture and Design,"Nashville, Tennessee, United States",1-10,https://www.linkedin.com/company/draft-note-design,,privately held,""
Eliana Tolledo,elianatoledo.com.br,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/eliana-toledo-neuroarquitetura,,privately held,""
Arwest Studio,arweststudio.ru,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/arwest-architects,"Arwest Studio is an architectural firm that specializes in urban planning, architecture, and interior design.",privately held,""
USCADD,uscadd.com,Accessible Architecture and Design,"Muntinlupa, Philippines",51-200,https://www.linkedin.com/company/uscadd-systems-philippines-inc,,public company,""
Roosh,roosh.studio,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/roosh-studio,,privately held,""
Muffin Group,muffin-d.com,Accessible Architecture and Design,"Bengaluru, India",51-200,https://www.linkedin.com/company/muffin-group-llc,"Muffin Group is a company in the retail and architecture industry that specializes in coalescing data, people, and design to make it possible for the best brands in the F&B space.",privately held,""
85architects,85architects.com,Accessible Architecture and Design,Belarus,11-50,https://www.linkedin.com/company/85architects,,self owned,""
Ayuppie,ayuppie.it,Accessible Architecture and Design,"Conegliano, Italy",1-10,https://www.linkedin.com/company/ayuppie,,privately held,""
ENG DESIGN & CONSTRUCTION,engdesignco.com,Accessible Architecture and Design,"Istanbul, Türkiye",51-200,https://www.linkedin.com/company/eng-design-construction,"ENG DESIGN & FURNITURE is a furniture production and interior design company specializing in office, cafe, restaurant, hotel, school, and hospital furniture.",privately held,""
JGB Arquitectura,jgbarquitectura.es,Accessible Architecture and Design,"Madrid, Spain",1-10,https://www.linkedin.com/company/jgb-arquitectura,"JGBernabe, autor en [JGB] is an architecture firm specialized in pathology, rehabilitation, and restoration of buildings.",self employed,""
Graha Optima Cipta Lestari,gocl.co.id,Accessible Architecture and Design,"Jakarta, Indonesia",1-10,https://www.linkedin.com/company/graha-optima-cipta-lestari,,privately held,""
Adorn General Contracting,adorninternational.ae,Accessible Architecture and Design,"Abu Dhabi, United Arab Emirates",1-10,https://www.linkedin.com/company/adorninternational,,partnership,""
T19 Design,t19design.ro,Accessible Architecture and Design,"Craiova, Romania",1-10,https://www.linkedin.com/company/t19-design,,privately held,""
Nohu Arquitectura,nohuarquitectura.com,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/nohu-arquitectura,,privately held,""
ÓRIGON PROJETOS,origonprojetos.com.br,Accessible Architecture and Design,"Paulínia, Brazil",1-10,https://www.linkedin.com/company/%c3%b3rigon---projetos-com-significado-pessoal,,privately held,""
Plus Maket,plusmaket.com.tr,Accessible Architecture and Design,"Bilecik, Türkiye",1-10,https://www.linkedin.com/company/plus-mi%cc%87mari%cc%87-maket,,self owned,""
Atelier Phenom,atelierphenom.com,Accessible Architecture and Design,"Béziers, France",1-10,https://www.linkedin.com/company/atelier-phenom,This is the homepage of the website,public company,""
Ninecubes Interiors | Exhibitions | Events,ninecubes.ae,Accessible Architecture and Design,"Dubai, United Arab Emirates",1-10,https://www.linkedin.com/company/ninecubesdxb,,public company,""
Millenniums,millenniums.vn,Accessible Architecture and Design,"Quận Hai, Vietnam",51-200,https://www.linkedin.com/company/millenniumsdesignbuild,Millenniums is a construction and architecture company that specializes in designing and building timeless modern and classic architectural structures.,self owned,""
KSH Design Bureau,kshinfo.com,Accessible Architecture and Design,"Lviv, Ukraine",11-50,https://www.linkedin.com/company/ksh-design-bureau,"KSH Design Bureau is an architecture and interior design firm that specializes in private architecture and interior design for residential and commercial facilities, focusing on creating bespoke designs.",partnership,""
Acanto Architecture,acantoarchitecture.com,Accessible Architecture and Design,"Biarritz, France",1-10,https://www.linkedin.com/company/acanto-architecture,"Acanto Architecture is an architecture and interior design agency founded by Siriana Di Tommaso, specializing in architectural services and interior design.",self owned,""
Trazo Arquitectura,trazoarquitectura.com.ar,Accessible Architecture and Design,"Salta, Argentina",1-10,https://www.linkedin.com/company/trazoarq,,self employed,""
Tekness Srl,tekness.it,Accessible Architecture and Design,"Milan, Italy",1-10,https://www.linkedin.com/company/tekness-srl,Tekness Srl is a bathroom accessories company that specializes in shower systems with a range of sleek floor-level channels for functional and design needs.,partnership,""
TDA Architects,tda-global.com,Accessible Architecture and Design,"Şişli, Türkiye",11-50,https://www.linkedin.com/company/tdaarchitects,"by TDAarchitects is an architecture firm that specializes in urban design, landscape architecture, and operates internationally with interdisciplinary teams.",partnership,""
Adalgisasuzanaarq,adalgisasuzanaarq.com.br,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/a-s-adalgisa-e-suzana-arquitetura,,privately held,""
3 Line Arquitetura,3line.com.br,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/3-line-arquitetura,,privately held,""
